IZ,name,year,observed,expected,pm10,jsa,price
S02000617,Pollok North and East,2007,105,83.12069641,13.74856,4.3,0.93
S02000618,Baillieston East,2007,72,92.27315087,14.27847,2.35,1.1975
S02000619,Dalmarnock,2007,100,77.86707779,15.72773,4.75,0.715
S02000620,Braidfauld,2007,94,101.4658735,14.54026333,5.95,0.87
S02000621,Mosspark,2007,129,121.9675539,14.84441,2.05,1.35
S02000622,Pollokshields East,2007,92,70.0504767,17.13231,2.15,1.44
S02000623,Mount Vernon North and Sandyhills,2007,43,81.33331328,14.397285,0.6,1.68
S02000624,Pollokshields West,2007,49,81.97705615,16.938215,2.2,1.59
S02000625,Cardonald South and East,2007,66,74.01420044,15.12956,4.1,0.9015
S02000626,Baillieston West,2007,87,82.64892839,14.66406,2.5,0.9695
S02000627,Cardonald West and Central,2007,82,118.3828772,14.34805,2,0.975
S02000628,Gorbals and Hutchesontown,2007,125,116.5870003,16.21468,4,1.29
S02000629,Parkhead East and Braidfauld North,2007,66,54.91671862,14.58555,4.05,0.8
S02000630,Tollcross,2007,99,65.53476974,14.54417,4.5,0.725
S02000631,Kingston West and Dumbreck,2007,66,80.14748542,17.072135,3.1,1.22
S02000632,Shettleston North,2007,106,97.94902916,14.81797,4.2,0.8495
S02000633,Parkhead West and Barrowfield,2007,164,93.91668977,15.41313,6.3,0.6405
S02000634,Laurieston and Tradeston,2007,68,65.20431946,17.503705,6.5,1.32
S02000635,"Calton, Galllowgate and Bridgeton",2007,153,105.4442965,17.66064,4.05,1.1
S02000636,Garrowhill West,2007,56,88.86536504,15.05663,0.95,1.35
S02000637,Cardonald North,2007,64,85.94217432,16.70626,3.3,0.95
S02000638,Craigton,2007,116,96.77458391,16.972785,3.5,0.85
S02000639,Hillington,2007,71,69.5160353,15.91398,1.7,0.8875
S02000640,Greenfield,2007,123,114.3117918,14.81797,2.9,0.85
S02000641,Penilee,2007,117,118.9178,14.95695,3.8,1.3
S02000642,Kinning Park and Festival Park,2007,79,68.1164656,17.63508,2.2,1.105
S02000643,Old Shettleston and Parkhead North,2007,125,73.42899945,15.07222,6,0.7525
S02000644,Ibrox East and Cessnock,2007,53,59.25144309,17.01071,4.1,0.75
S02000645,Garrowhill East and Swinton,2007,41,77.59893644,15.4277,0.8,1.39
S02000646,Barlanark,2007,96,86.69569434,14.74774,4.9,0.78
S02000647,Gallowgate North and Bellgrove,2007,71,65.7577075,17.44209,3.75,1.2495
S02000648,Carntyne West and Haghill,2007,139,92.35125569,16.88901,5.05,0.7135
S02000649,Ibrox,2007,66,50.43705939,17.51575,6.3,0.89
S02000650,Dennistoun,2007,56,65.47499325,18.43163,2.75,1.18
S02000651,Anderston,2007,41,57.75301783,19.20442,2.55,1.675
S02000652,North Barlanark and Easterhouse South,2007,94,66.1999142,15.08801,8.6,0.851
S02000653,Easterhouse East,2007,75,57.54009322,14.6402,4.25,0.59555
S02000654,"Cranhill, Lightburn and Queenslie South",2007,140,121.5817347,15.68809,5.6,0.9005
S02000655,City Centre West,2007,43,63.37926038,19.61165,3.1,1.56
S02000656,Govan and Linthouse,2007,147,100.0909526,17.48228,8.35,0.74998
S02000657,Carntyne,2007,116,91.96584678,16.36042,2.2,1
S02000658,City Centre East,2007,150,164.2536309,19.48305,2.05,1.48
S02000659,Dennistoun North and Alexandra Parade,2007,157,119.2538398,17.7626,2.5,1.25
S02000660,Drumoyne and Shieldhall,2007,153,122.5443065,17.26855,4,0.9805
S02000661,Finnieston and Kelvinhaugh,2007,68,88.21439938,18.03939,2.05,1.70088
S02000662,Central Easterhouse,2007,84,59.67459562,14.50702,7.8,0.572
S02000663,Craigend and Ruchazie,2007,169,100.4622832,15.123285,5.8,0.785
S02000665,Woodlands,2007,46,80.48990457,17.64932,2.1,2
S02000666,"Roystonhill, Blochairn, and Provanmill",2007,194,117.9394241,17.66677,5.25,0.75
S02000667,Riddrie and Hogganfield,2007,121,119.4582115,15.58517333,3.4,0.95
S02000668,Glasgow Harbour and  Partick South,2007,29,44.47182123,16.63217,2.7,1.7695
S02000669,Woodside,2007,99,72.49676796,18.27658,2.6,1.35773
S02000670,Sighthill,2007,76,66.01688923,18.06273,4.9,0.79005
S02000671,Partick,2007,77,67.70705585,16.53597,3.35,1.475
S02000672,Kelvingrove and University,2007,48,75.8638293,16.5789,2.1,2.27
S02000673,Whiteinch,2007,83,57.15060614,17.42854,4.35,0.99995
S02000674,"Garthamlock, Auchinlea and Gartloch",2007,77,58.78684976,13.7755,3.7,1.37
S02000675,Firhill,2007,91,96.65871822,16.90621,4.25,1.53273
S02000676,Cowlairs and Port Dundas,2007,101,71.95882536,17.791355,4.3,1.25
S02000677,Partickhill and Hyndland,2007,26,71.40958011,15.98516,1,2.1275
S02000678,Blackhill and Barmulloch East,2007,111,66.96702581,16.214015,4.35,0.91
S02000679,Broomhill,2007,36,78.76830856,15.82762,1.35,1.91375
S02000680,Petershill,2007,97,79.73991177,16.126565,3.75,0.92
S02000681,Dowanhill,2007,37,69.84454387,15.99337,1.4,2.5
S02000682,Victoria Park,2007,25,58.06650734,15.82762,0.8,1.97625
S02000683,North Kelvin,2007,38,54.95183475,16.45,2.1,2.225
S02000684,Scotstoun South and West,2007,62,69.67907952,15.92596,4.85,0.96
S02000685,Keppochhill,2007,96,83.96388985,16.90621,7.4,1.15
S02000686,Scotstoun North and East,2007,72,86.57516654,16.19086,2.4,2.2925
S02000687,Barmulloch,2007,62,68.5966211,15.82062,5.7,1.2655
S02000688,Ruchill,2007,104,109.3069266,15.12681,2.7,1.40995
S02000689,Kelvinside and Jordanhill,2007,63,127.3734155,15.56741333,0.85,2.475
S02000690,Kelvindale,2007,59,110.187252,15.13986,1.05,2.05
S02000691,Springburn,2007,140,105.9092358,14.75077,4.6,0.859
S02000692,Possil Park,2007,173,121.7506263,14.90374,5.5,1.24
S02000693,Wyndford,2007,72,89.83036068,15.13986,7.6,0.89995
S02000694,Springburn East and Cowlairs,2007,87,83.55415608,14.87565,4.8,0.75
S02000695,Robroyston and Millerston,2007,63,98.50976337,14.3038725,0.7,1.5
S02000696,Yoker South,2007,66,64.48287867,14.71549,4.25,0.99125
S02000697,Balornock,2007,96,86.98741681,14.595835,4.3,0.90525
S02000698,Knightswood Park East,2007,70,77.57797308,15.54173,4.8,1.65
S02000699,Knightswood East,2007,95,88.90117294,14.74466,4.3,1.29998
S02000700,Maryhill West,2007,57,47.77213877,14.56112,6.9,0.925
S02000701,Milton West,2007,129,83.46774987,14.2556,4.8,0.93
S02000702,Anniesland East,2007,43,72.89744948,15.064175,1.7,1.34
S02000703,Knightswood West,2007,55,57.75339647,14.18846,3.35,1.205
S02000704,Maryhill East,2007,76,64.25042344,14.50455,5.15,1.05
S02000705,Anniesland West,2007,139,128.8885764,14.64011,2.45,1.405
S02000706,Knightswood Park West,2007,90,91.82056447,14.44582,3.7,1.15
S02000707,Yoker North,2007,98,77.5395499,14.18846,3.35,1.24998
S02000708,Milton East,2007,84,75.01145434,14.32134,5.6,0.9385
S02000709,Blairdardie East,2007,167,122.3509433,14.08884,3.7,1.1
S02000710,Summerston North,2007,100,84.25324516,14.10147,2.15,1.0725
S02000711,Blairdardie West,2007,55,63.1385782,13.89933,1.45,1.53751
S02000712,Drumchapel South,2007,73,68.15055239,13.9256,5.4,0.7
S02000713,Summerston Central and West,2007,59,67.12912205,13.27195111,2.9,1.25
S02000714,Drumry West,2007,81,64.25459594,13.24382,4.1,1.19995
S02000715,Drumchapel North,2007,70,57.6099763,13.31885,7.55,0.995
S02000716,Drumry East,2007,75,54.25439258,13.24382,7.05,1
S02000771,Kilmacolm Central,2007,35,57.6451575,10.26968,0.3,2.3325
S02000772,"Kilmacolm, Quarriers, Greenock Upper East/Central",2007,49,81.29541011,10.14502094,1.2,1.605
S02000773,Inverkip and Wemyss Bay,2007,47,93.74422128,9.894334882,1.2,1.9
S02000774,Port Glasgow Upper East,2007,101,99.39291408,10.78611,4.9,0.7525
S02000775,"Port Glasgow Mid, East and Central",2007,105,104.893213,10.9268975,6.4,0.87
S02000776,"Port Glasgow Upper, West and Central",2007,87,108.620965,11.27113,3.65,0.96
S02000777,"West Braeside, East Inverkip and West Gourock",2007,67,93.49346263,10.42594785,2.05,1.23
S02000778,Greenock East,2007,118,103.6727928,12.72873,5.15,0.83
S02000779,"Bow Farm, Barrs Cottage, Cowdenknowes and Overton",2007,56,97.98538905,11.63803,3.15,0.885
S02000780,Greenock Upper Central,2007,70,89.73324184,12.74768,5.4,0.65
S02000781,Greenock Town Centre and East Central,2007,154,132.4851057,13.17,6.3,0.82288
S02000782,"Braeside, Branchton, Lower Larkfield and Ravenscraig",2007,88,90.82690893,11.28211,6.4,0.725
S02000783,"Lower Bow & Larkfield, Fancy Farm, Mallard Bowl",2007,97,95.79069659,12.09449,5.6,0.7755
S02000784,Greenock West and Central,2007,107,126.7239639,12.90584,2.75,1
S02000785,"Gourock Central, Upper East and IRH",2007,67,94.95480563,11.81506,2.25,0.98
S02000786,Gourock Upper and West Central & Upper Larkfield,2007,40,100.4543619,10.33725,2.55,1.14
S02000787,"Gourock East, Greenock West and Lyle Road",2007,86,149.4929616,11.58356667,1,1.875
S02000923,Stepps,2007,59,110.9990418,13.081071,1.15,1.55
S02000925,Chryston and Muirhead,2007,62,84.44981313,12.67376,1.7,1.47475
S02000926,Moodiesburn West,2007,83,67.52987499,13.06351,2.4,1.64995
S02000927,Moodiesburn East,2007,47,58.76141079,12.8345,1,1.45
S02000983,Lochwinnoch,2007,48,57.91312367,10.40557,1.3,1.57
S02000984,Renfrewshire Rural South & Howwood,2007,41,70.16805611,10.45861212,0.9,2.49995
S02000985,Paisley Glenburn West,2007,98,96.49533919,12.25057,3.2,0.98
S02000986,Paisley Glenburn East,2007,60,64.970509,12.25057,2.9,1.03
S02000987,Paisley Foxbar,2007,91,109.2289327,11.82321,4.15,0.93
S02000988,Johnstone South West,2007,115,102.3882141,12.41125,3.35,1.005
S02000989,Paisley Dykebar,2007,52,68.61029584,12.40768,0.8,1.55
S02000990,Paisley South West,2007,52,100.5626999,12.4355,0.7,1.38
S02000991,Paisley South East,2007,93,135.2168833,12.872635,3.65,0.86
S02000992,Johnstone South East,2007,78,90.67356821,13.03153,3.7,0.93998
S02000993,Paisley South,2007,45,70.93326445,13.291815,0.9,1.55
S02000994,Johnstone North West,2007,104,70.35186986,12.65273,3.55,0.8
S02000995,Paisley West,2007,102,107.58668,12.33352,2.5,1.025
S02000996,Kilbarchan,2007,42,71.952245,11.42268,1.1,1.295
S02000997,Paisley East,2007,77,73.06835521,13.47552,4.2,0.89
S02000998,Johnstone North East,2007,90,71.84002404,12.90231,2.15,1.01
S02000999,Elderslie and Phoenix,2007,55,109.6770875,12.95430667,1.55,1.40995
S02001000,Paisley Central,2007,102,126.2576978,13.93304,3.25,0.9
S02001001,Paisley North West,2007,70,68.74177161,12.94447,5.9,0.685
S02001002,Paisley Ralston,2007,41,114.802912,13.492815,0.9,1.85
S02001003,Paisley Ferguslie,2007,108,62.8872535,14.253485,7.3,0.78
S02001004,Paisley North East,2007,109,129.8122202,14.98695,2.95,1.05
S02001005,Linwood South,2007,86,92.24053019,12.59599,4.15,0.7775
S02001006,Linwood North,2007,76,83.99522722,12.59599,2.1,0.93248
S02001007,Paisley Gallowhill and Hillington,2007,110,120.1894242,15.62997667,3.95,0.795
S02001008,Bridge of Weir,2007,51,96.59967197,10.81619667,1.3,2.05
S02001009,Houston South,2007,27,59.2637917,11.49483,0.6,1.435
S02001010,Paisley North,2007,87,73.85613346,14.991962,2.9,1
S02001011,Renfrew South,2007,100,116.7462171,15.45858,1.1,0.96125
S02001012,Houston North,2007,30,58.58891257,11.117235,0.85,1.88
S02001013,Renfrew East,2007,76,115.1682516,16.55204,0.9,1.35695
S02001014,Renfrew West,2007,121,111.8541622,14.51103333,2.8,1.24995
S02001015,Renfrewshire Rural North and Langbank,2007,49,95.67220517,11.28512092,0.9,2.49
S02001016,Renfrew North,2007,66,60.16959316,14.66324,2.7,1.445
S02001017,Erskine East and Inchinnan,2007,55,107.4630691,12.830295,0.8,1.665
S02001018,Erskine Central,2007,56,102.7251108,12.67216,1.15,1.2
S02001019,Erskine West,2007,86,115.6952873,12.78335,1.1,1.175
S02001020,Bishopton,2007,58,95.13068732,12.006,0.9,1.7425
S02001146,Fernhill and Cathkin,2007,69,70.07569028,13.44923,3.9,1
S02001148,Whitlawburn and Greenlees,2007,65,65.77346542,13.41116,2.95,1.46995
S02001149,Vicarland and Cairns,2007,112,94.85913231,12.9893,2.2,1.16498
S02001150,Burnside and Springhall,2007,60,107.0279324,13.55782,2,1.69
S02001152,Spittal,2007,76,67.17480119,14.44279,2.25,0.8
S02001153,Cambuslang Central,2007,65,80.43898777,13.96204,1.3,1.75
S02001154,High Crosshill,2007,33,76.14652169,14.20036,0.5,1.57
S02001156,"Halfway, Hallside and Drumsagard",2007,92,96.50797024,13.2084325,1.2,1.5
S02001157,Westburn and Newton,2007,71,74.32186363,13.1688125,2.45,1.269
S02001158,Bankhead South,2007,32,70.25258815,14.44279,1.2,0.961
S02001159,"Burgh, Eastfield and Silverbank",2007,72,122.8883924,14.20036,1.2,1.32375
S02001160,Burnhill and Bankhead North,2007,95,78.19127092,14.88718,3.1,0.89748
S02001161,Shawfield and Clincarthill,2007,73,83.29898629,14.76262333,2.9,0.92
S02001162,Farme Cross and Gallowflat North,2007,49,72.05108073,14.48781,2.75,0.84
S02001184,IZ One,2007,65,87.83255471,13.68424,4.9,0.87
S02001185,IZ Two,2007,93,98.64605172,13.012145,4.9,0.8725
S02001186,IZ Three,2007,92,122.7755431,13.69322,4.1,0.8225
S02001187,IZ Four,2007,107,114.3289793,13.24361,2.8,1.05
S02001188,IZ Five,2007,97,125.6636377,12.90693,4.75,1.04995
S02001189,IZ Six,2007,52,79.65863676,13.07351,1.7,1.17995
S02001190,IZ Seven,2007,54,101.9171419,12.348575,1.55,1.08
S02001191,IZ Eight,2007,76,101.5891933,12.328795,4.6,0.82
S02001192,IZ Nine,2007,127,134.1808145,11.921584,2,0.8325
S02001193,IZ Ten,2007,62,92.18086685,10.97716727,1.8,1.351
S02001194,IZ Eleven,2007,52,89.89874045,11.26281333,1.6,1.1
S02001195,IZ Twelve,2007,127,115.6673595,10.74709667,5.45,0.9
S02001196,IZ Thirteen,2007,86,96.21817614,11.70723,4.9,1.15
S02001197,IZ Fourteen,2007,61,90.20706587,11.3708125,4,0.7
S02001198,IZ Fifteen,2007,90,101.8638141,10.794244,3.05,1.15998
S02001199,IZ Sixteen,2007,84,84.86237835,10.38971598,4.1,1.225
S02001200,IZ Seventeen,2007,104,115.3991379,10.51479125,2.95,0.98
S02001201,IZ Eighteen,2007,74,109.1807346,9.942392108,3.35,1.25
S02000664,Hillhead,2007,62,91.88938906,17.11411,2.7,1.68475
